AIM/CGE 2.0,SSP1-34,0,Above 2C,Above 2C,in range,SSP1-Baseline
AIM/CGE 2.0,SSP1-45,0,Above 2C,Above 2C,in range,SSP1-Baseline
AIM/CGE 2.0,SSP1-Baseline,0,Above 2C,Above 2C,in range,
AIM/CGE 2.0,SSP2-19,0,1.5C low overshoot,Lower 1.5C low overshoot,in range,SSP2-Baseline
AIM/CGE 2.0,SSP2-26,0,Lower 2C,Lower 2C,in range,SSP2-Baseline
AIM/CGE 2.0,SSP2-34,0,Above 2C,Above 2C,in range,SSP2-Baseline
AIM/CGE 2.0,SSP2-45,0,Above 2C,Above 2C,in range,SSP2-Baseline
AIM/CGE 2.0,SSP2-60,0,Above 2C,Above 2C,in range,SSP2-Baseline
AIM/CGE 2.0,SSP2-Baseline,0,Above 2C,Above 2C,in range,
AIM/CGE 2.0,SSP3-34,0,Above 2C,Above 2C,in range,SSP3-Baseline
AIM/CGE 2.0,SSP3-45,0,Above 2C,Above 2C,in range,SSP3-Baseline
AIM/CGE 2.0,SSP3-60,0,Above 2C,Above 2C,in range,SSP3-Baseline
AIM/CGE 2.0,SSP3-Baseline,0,Above 2C,Above 2C,in range,
AIM/CGE 2.0,SSP4-26,0,Lower 2C,Lower 2C,in range,SSP4-Baseline
AIM/CGE 2.0,SSP4-34,0,Above 2C,Above 2C,in range,SSP4-Baseline
AIM/CGE 2.0,SSP4-45,0,Above 2C,Above 2C,in range,SSP4-Baseline
AIM/CGE 2.0,SSP4-Baseline,0,Above 2C,Above 2C,in range,
AIM/CGE 2.0,SSP5-26,0,Lower 2C,Lower 2C,in range,SSP5-Baseline
AIM/CGE 2.0,SSP5-34,0,Above 2C,Above 2C,in range,SSP5-Baseline
AIM/CGE 2.0,SSP5-45,0,Above 2C,Above 2C,in range,SSP5-Baseline
AIM/CGE 2.0,SSP5-60,0,Above 2C,Above 2C,in range,SSP5-Baseline
AIM/CGE 2.0,SSP5-Baseline,0,Above 2C,Above 2C,in range,
AIM/CGE 2.1,CD-LINKS_INDCi,0,Above 2C,Above 2C,in range,CD-LINKS_NoPolicy
AIM/CGE 2.1,CD-LINKS_NPi,0,Above 2C,Above 2C,in range,CD-LINKS_NoPolicy
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,0,Lower 2C,Lower 2C,in range,CD-LINKS_NoPolicy
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,0,Above 2C,Above 2C,in range,CD-LINKS_NoPolicy
AIM/CGE 2.1,CD-LINKS_NPi2020_400,0,1.5C low overshoot,Lower 1.5C low overshoot,in range,CD-LINKS_NoPolicy
AIM/CGE 2.1,CD-LINKS_NoPolicy,0,Above 2C,Above 2C,in range,
AIM/CGE 2.1,EMF33_Baseline,0,Above 2C,Above 2C,in range,
AIM/CGE 2.1,EMF33_Med2C_cost100,0,Higher 2C,Higher 2C,in range,EMF33_Baseline
AIM/CGE 2.1,EMF33_Med2C_full,0,Higher 2C,Higher 2C,in range,EMF33_Baseline
AIM/CGE 2.1,EMF33_Med2C_nobeccs,0,Higher 2C,Higher 2C,in range,EMF33_Baseline
AIM/CGE 2.1,EMF33_Med2C_nofuel,0,Lower 2C,Lower 2C,in range,EMF33_Baseline
AIM/CGE 2.1,EMF33_Med2C_none,0,Lower 2C,Lower 2C,in range,EMF33_Baseline
AIM/CGE 2.1,EMF33_WB2C_cost100,0,1.5C high overshoot,Higher 1.5C high overshoot,in range,EMF33_Baseline
AIM/CGE 2.1,EMF33_WB2C_full,0,Lower 2C,Lower 2C,in range,EMF33_Baseline
AIM/CGE 2.1,EMF33_tax_hi_full,0,Above 2C,Above 2C,in range,EMF33_Baseline
AIM/CGE 2.1,EMF33_tax_hi_none,0,Above 2C,Above 2C,in range,EMF33_Baseline
AIM/CGE 2.1,EMF33_tax_lo_full,0,Above 2C,Above 2C,in range,EMF33_Baseline
AIM/CGE 2.1,EMF33_tax_lo_none,0,Above 2C,Above 2C,in range,EMF33_Baseline
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,0,1.5C low overshoot,Lower 1.5C low overshoot,in range,TERL_Baseline_LowCarbonTransportPolicy
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,0,1.5C low overshoot,Higher 1.5C low overshoot,in range,TERL_Baseline_NoTransportPolicy
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,0,Lower 2C,Lower 2C,in range,TERL_Baseline_LowCarbonTransportPolicy
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,0,Lower 2C,Lower 2C,in range,TERL_Baseline_NoTransportPolicy
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,0,Above 2C,Above 2C,in range,
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,0,Above 2C,Above 2C,in range,
