MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MERGE-ETL_2011,AMPERE2-450-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,31814.76,35401.68,,36441.94,,34357.24,,26965.99,,17216.08,,7114.85,,-326.5,,-5466.03,,-9709.67,,-12231.3
MESSAGE V.4,AMPERE2-450-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,34468.104,36076.63033,,38048.131,,36478.05333,,27332.50667,,14295.919,,4139.355,,-1665.205667,,-5598.582,,-8754.038333,,-11101.2
POLES AMPERE,AMPERE2-450-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,29207.968,31721.332,,38475.752,,25201.58,,14195.288,,8329.388,,3936.3375,,1939.16825,,803.4916875,,230.0574531,,10.49537012
REMIND 1.5,AMPERE2-450-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,33841.491,37377.78,37374.315,36247.908,34648.16,32341.486,29093.999,25485.092,21395.956,16497.563,,5985.032,,-1185.279,,-5262.634,,-8233.318,,-10205.454
WITCH_AMPERE,AMPERE2-450-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,33614.22507,37207.38275,32340.22622,31237.98832,28057.05005,24490.88855,22171.1407,18968.42137,15974.16883,13119.18309,11003.84387,8902.943976,5626.092842,3187.588231,1306.252357,184.9304533,-727.8342688,-1565.784901,-2032.497127,-1990.126062
DNE21 V.12,AMPERE2-550-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,33645.65294,36635.63101,40179.54612,41196.87231,41013.29395,38516.14094,,31758.99264,,26568.40897,,,,,,,,,,
GCAM 3.0,AMPERE2-550-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,31473.40134,31534.83934,36737.08123,39864.44402,44083.27093,47084.86644,49055.58767,49879.57354,49291.89678,46691.4228,41182.24413,34205.65759,25679.66713,16935.52071,7480.725025,-2301.735645,-12131.43989,-20989.8593,-30348.77202,-39707.68474
IMACLIM v1.1,AMPERE2-550-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,29490,32870,34510,33890,32970,31000,28880,27090,25450,23980,,20980,,17870,,15820,,15620,,13070
IMAGE 2.4,AMPERE2-550-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,34421.1735,35569.3737,37682.18652,39367.13086,41270.16667,41420.24219,40558.90495,35746.26888,32969.98633,30334.43717,,21568.27148,,11802.05379,,6108.71814,,740.909373,,-2447.733195
MERGE-ETL_2011,AMPERE2-550-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,31814.76,35401.68,,43575.09,,45410.24,,43851.2,,37228.91,,20436.28,,8551.64,,587.66,,-4464.91,,-9395.72
MESSAGE V.4,AMPERE2-550-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,34468.104,36076.63033,,41142.14133,,44413.04633,,41460.386,,34570.712,,20927.53667,,9807.182,,2442.671,,-2660.122667,,-6277.879667
POLES AMPERE,AMPERE2-550-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,29207.968,31771.862,,35849.064,,32671.56,,30839.462,,26747.502,,22004.258,,17456.14,,13502.4,,10000.841,,7280.666
REMIND 1.5,AMPERE2-550-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,33841.491,37377.78,38902.322,39741.047,40201.946,39829.117,38862.149,37510.007,35233.364,31482.261,,22138.903,,13138.817,,5065.886,,-451.212,,-3943.664
WITCH_AMPERE,AMPERE2-550-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,33614.22507,37207.38275,37688.04535,38809.44734,40298.1668,39761.96403,37138.79206,33433.78659,29553.53224,25049.4489,21779.18935,19210.85441,16813.35921,13711.48698,10417.12895,8250.640965,6209.769282,4909.339083,3830.334591,3329.092554
DNE21 V.12,AMPERE3-450,World,Emissions|CO2,Mt CO2/yr,33645.65294,36631.92793,37208.43849,36655.37037,31594.88992,23340.39972,,18076.66593,,15130.86234,,,,,,,,,,
GCAM 3.0,AMPERE3-450,World,Emissions|CO2,Mt CO2/yr,31473.40134,31678.12653,36958.17956,38660.76655,42680.88813,45110.96981,45975.47135,44768.1414,41273.60403,34990.0896,27197.37551,19397.61792,10511.38603,1208.728148,-8495.439339,-17387.30456,-27007.2411,-37099.22083,-47471.69471,-57844.16859
GEM-E3-ICCS,AMPERE3-450,World,Emissions|CO2,Mt CO2/yr,29007.68248,31284.99312,33558.12365,33428.26253,28028.51498,22768.17514,21351.93378,19962.08576,18603.02774,17225.12539,,,,,,,,,,
IMACLIM v1.1,AMPERE3-450,World,Emissions|CO2,Mt CO2/yr,29300,34600,36600,36600,34600,30200,24800,20300,17000,14600,,8550,,-1120,,-5880,,-4490,,-6450
IMAGE 2.4,AMPERE3-450,World,Emissions|CO2,Mt CO2/yr,34111.29004,35344.26758,35657.79622,36059.37142,34606.40104,32234.66211,27634.77865,19608.88216,18110.60124,15150.27816,,6668.570516,,-677.6975301,,-3156.887878,,-6273.637126,,-7112.291789
MERGE-ETL_2011,AMPERE3-450,World,Emissions|CO2,Mt CO2/yr,31814.76,35401.68,,35726.41,,34129.52,,27148.51,,17454.38,,7339.49,,-189.08,,-5348.41,,-9630.36,,-12304.41
MESSAGE V.4,AMPERE3-450,World,Emissions|CO2,Mt CO2/yr,34474.58667,36035.692,,36941.45767,,35238.71267,,26747.95567,,15173.31933,,4329.482667,,-1304.688,,-5447.097333,,-8728.731,,-11209.52433
POLES AMPERE,AMPERE3-450,World,Emissions|CO2,Mt CO2/yr,29207.968,31585.18,,32653.09,,24105.244,,18855.232,,12332.89,,6334.774,,2414.56275,,-96.97258594,,-1787.99875,,-2990.6845
REMIND 1.5,AMPERE3-450,World,Emissions|CO2,Mt CO2/yr,33841.491,37365.908,37196.277,35255.179,33776.841,31679.692,28729.288,25439.837,21573.101,16908.362,,6524.717,,-910.925,,-5015.054,,-8196.08,,-10192.884
WITCH_AMPERE,AMPERE3-450,World,Emissions|CO2,Mt CO2/yr,33614.22507,37207.38275,32428.82622,31436.95091,28261.22952,24817.81836,22424.44265,18989.3774,16245.51117,13364.15268,11250.51369,8989.589806,5653.03752,3249.84126,1604.229548,247.2976379,-719.8772581,-1807.667412,-2189.539384,-2192.413907
WorldScan2,AMPERE3-450,World,Emissions|CO2,Mt CO2/yr,35170.29004,36776.45093,,27193.04062,,23756.99509,,22823.63914,,21926.95253,,,,,,,,,,
DNE21 V.12,AMPERE3-550,World,Emissions|CO2,Mt CO2/yr,33645.65294,36635.55767,39174.80612,39961.16898,38757.70728,35598.24428,,28781.73264,,21908.9923,,,,,,,,,,
GCAM 3.0,AMPERE3-550,World,Emissions|CO2,Mt CO2/yr,31473.40134,31678.12653,36958.17956,39660.51782,44175.08829,47541.01121,49830.38369,50744.17952,49954.61983,46992.91421,41313.24053,34172.77973,26130.44743,17064.61576,7719.848159,-2639.861777,-12338.01353,-21628.97569,-32033.0449,-42437.11411
GEM-E3-ICCS,AMPERE3-550,World,Emissions|CO2,Mt CO2/yr,29007.68248,31284.99312,33815.26298,34204.11438,33639.015,32913.39147,32343.89361,31421.39121,30614.55383,30062.77385,,,,,,,,,,
IMACLIM v1.1,AMPERE3-550,World,Emissions|CO2,Mt CO2/yr,29300,34600,37000,37500,36200,32700,28300,25100,23700,23400,,22400,,19900,,17800,,14900,,9070
IMAGE 2.4,AMPERE3-550,World,Emissions|CO2,Mt CO2/yr,34111.29004,35318.50423,35968.99382,37365.86491,37614.75781,37226.82161,36699.40885,32352.88704,32455.99414,30493.37142,,22154.06624,,12673.92464,,7180.825602,,909.2277578,,-2504.164368
MERGE-ETL_2011,AMPERE3-550,World,Emissions|CO2,Mt CO2/yr,31814.76,35401.68,,41322.19,,45093.31,,46221.78,,34799.13,,20378.3,,9786.79,,1825.94,,-4501.24,,-8895.89
MESSAGE V.4,AMPERE3-550,World,Emissions|CO2,Mt CO2/yr,34474.50967,36035.956,,39222.414,,42988.06967,,40487.79533,,34363.56,,20847.255,,10424.524,,2479.887667,,-2730.614333,,-6474.82
POLES AMPERE,AMPERE3-550,World,Emissions|CO2,Mt CO2/yr,29207.968,31585.18,,37069.304,,34396.928,,31141.45,,25602.876,,21450.05,,16776.099,,12622.39,,9258.343,,6652.271
REMIND 1.5,AMPERE3-550,World,Emissions|CO2,Mt CO2/yr,33841.491,37366.116,38621.062,38324.51,38819.436,39015.271,38230.818,36963.661,34861.474,31733.509,,22831.659,,13927.885,,5749.588,,-327.772,,-3755.239
WITCH_AMPERE,AMPERE3-550,World,Emissions|CO2,Mt CO2/yr,33614.22507,37207.38275,37954.46203,38863.21418,40318.50581,39527.58285,36908.67433,33313.15608,29359.20119,25227.18402,21739.80096,19371.24959,16926.59035,14246.22244,10416.06258,8245.119869,6439.556652,4808.230185,3754.635085,3272.500956
WorldScan2,AMPERE3-550,World,Emissions|CO2,Mt CO2/yr,35170.29004,36776.45093,,33583.40909,,32468.8529,,31586.92836,,30728.95881,,,,,,,,,,
DNE21 V.12,AMPERE3-CF450,World,Emissions|CO2,Mt CO2/yr,33645.65294,36631.9646,37208.47516,36655.5537,31594.74325,23340.69305,,18076.62927,,15131.19234,,,,,,,,,,
GCAM 3.0,AMPERE3-CF450,World,Emissions|CO2,Mt CO2/yr,31473.40134,31678.12634,37126.87266,39368.76533,43247.25281,45495.24265,46275.40612,44989.59061,41543.15919,35170.61763,27060.89636,19100.01192,10182.43263,823.4487828,-8824.912252,-17676.67584,-27297.80812,-37470.6594,-47790.55604,-58110.45267
GEM-E3-ICCS,AMPERE3-CF450,World,Emissions|CO2,Mt CO2/yr,29007.68248,31284.99312,33876.29592,33425.40315,28025.1959,22766.90001,21350.88638,19961.47239,18602.57363,17224.67016,,,,,,,,,,
IMACLIM v1.1,AMPERE3-CF450,World,Emissions|CO2,Mt CO2/yr,29300,34600,36800,37200,35500,30800,25200,20600,17400,15000,,8700,,-1650,,-7220,,-5530,,-4660
IMAGE 2.4,AMPERE3-CF450,World,Emissions|CO2,Mt CO2/yr,34421.1735,35580.31283,35587.59245,35952.16797,34342.64453,31333.2959,26890.74967,20046.01579,17893.71826,15391.40983,,6939.031047,,-198.7425397,,-2680.854777,,-7063.862874,,-8055.791097
MERGE-ETL_2011,AMPERE3-CF450,World,Emissions|CO2,Mt CO2/yr,31814.76,35401.68,,36441.94,,34357.24,,26965.99,,17216.08,,7114.85,,-326.5,,-5466.03,,-9709.67,,-12231.3
MESSAGE V.4,AMPERE3-CF450,World,Emissions|CO2,Mt CO2/yr,34468.104,36076.63033,,38048.131,,36478.05333,,27332.50667,,14295.919,,4139.355,,-1665.205667,,-5598.582,,-8754.038333,,-11101.2
POLES AMPERE,AMPERE3-CF450,World,Emissions|CO2,Mt CO2/yr,29207.968,31730.812,,33712.892,,24014.386,,18195.018,,11526.853,,5947.1775,,2303.35525,,-68.57876563,,-1683.9885,,-2847.9105
REMIND 1.5,AMPERE3-CF450,World,Emissions|CO2,Mt CO2/yr,33841.491,37366.37,37389.742,36122.164,34621.506,32312.756,29075.933,25496.638,21488.63,16660.246,,6141.526,,-1209.311,,-5279.421,,-8385,,-10340.078
WITCH_AMPERE,AMPERE3-CF450,World,Emissions|CO2,Mt CO2/yr,33614.22507,37207.38275,32340.22622,31237.98832,28057.05005,24490.88855,22171.1407,18968.42137,15974.16883,13119.18309,11003.84387,8902.943976,5626.092842,3187.588231,1306.252357,184.9304533,-727.8342688,-1565.784901,-2032.497127,-1990.126062
WorldScan2,AMPERE3-CF450,World,Emissions|CO2,Mt CO2/yr,35170.29004,36776.45093,,27193.04062,,23756.99509,,22823.63914,,21926.95253,,,,,,,,,,
DNE21 V.12,AMPERE3-CF550,World,Emissions|CO2,Mt CO2/yr,33645.65294,36635.66767,39174.84279,39961.13231,38757.67062,35598.50094,,28781.58597,,21909.2123,,,,,,,,,,
GCAM 3.0,AMPERE3-CF550,World,Emissions|CO2,Mt CO2/yr,31473.40134,31678.12634,37126.87266,40412.35349,44893.09389,48100.43304,50290.71915,51131.50535,50291.58086,47275.14528,41302.94764,33933.53997,25723.90832,16546.4831,7221.95273,-3106.978072,-12734.38298,-22079.90324,-32484.96924,-42890.03523
GEM-E3-ICCS,AMPERE3-CF550,World,Emissions|CO2,Mt CO2/yr,29007.68248,31284.99312,34115.48279,34202.08381,33637.86272,32912.42805,32342.83108,31420.28705,30613.62278,30062.18527,,,,,,,,,,
IMACLIM v1.1,AMPERE3-CF550,World,Emissions|CO2,Mt CO2/yr,29300,34600,37200,38000,36700,32900,28400,25200,23900,23600,,22600,,20200,,17900,,14000,,6760
IMAGE 2.4,AMPERE3-CF550,World,Emissions|CO2,Mt CO2/yr,34421.1735,35569.3737,37682.18652,39367.13086,41270.16667,41420.24219,40558.90495,35746.26888,32969.98633,30334.43717,,21568.27148,,11802.05379,,6108.71814,,740.909373,,-2447.733195
MERGE-ETL_2011,AMPERE3-CF550,World,Emissions|CO2,Mt CO2/yr,31814.76,35401.68,,43575.09,,45410.24,,43851.2,,37228.91,,20436.28,,8551.64,,587.66,,-4464.91,,-9395.72
MESSAGE V.4,AMPERE3-CF550,World,Emissions|CO2,Mt CO2/yr,34468.104,36076.63033,,41142.14133,,44413.04633,,41460.386,,34570.712,,20927.53667,,9807.182,,2442.671,,-2660.122667,,-6277.879667
POLES AMPERE,AMPERE3-CF550,World,Emissions|CO2,Mt CO2/yr,29207.968,31730.812,,37427.48,,34246.412,,31304.262,,25976.6,,21651.086,,16858.612,,12857.04,,9494.061,,6935.2395
REMIND 1.5,AMPERE3-CF550,World,Emissions|CO2,Mt CO2/yr,33841.491,37366.705,38954.509,39698.437,40242.24,40099.987,38970.677,37507.151,35214.801,31657.297,,22139.757,,13068.396,,5037.9,,-716.662,,-4053.056
WITCH_AMPERE,AMPERE3-CF550,World,Emissions|CO2,Mt CO2/yr,33614.22507,37207.38275,37688.04535,38809.44734,40298.1668,39761.96403,37138.79206,33433.78659,29553.53224,25049.4489,21779.18935,19210.85441,16813.35921,13711.48698,10417.12895,8250.640965,6209.769282,4909.339083,3830.334591,3329.092554
WorldScan2,AMPERE3-CF550,World,Emissions|CO2,Mt CO2/yr,35170.29004,36776.45093,,33583.40909,,32468.8529,,31586.92836,,30728.95881,,,,,,,,,,
MiniCAM_EMF22,EMF22 2.6 NTE,World,Emissions|CO2,Mt CO2/yr,,34614.79027,,9598.960303,,11864.89373,,10315.28439,,4950.132293,,7726.38588,,7572.047611,,4487.117486,,6924.067061,,9361.016636
TIAM-World_2007_version,EMF22 2.6 NTE,World,Emissions|CO2,Mt CO2/yr,,29002.9818,,15127.85697,,9121.517958,,5864.476493,,3847.297245,,3818.807748,,3404.156183,,2989.504617,,3491.823774,,3994.14293
MESSAGE V.1,EMF22 2.6 OS,World,Emissions|CO2,Mt CO2/yr,,32740,,38290,,38890,,33970,,22850,,9140,,-9230,,-17420,,-24940,,-29520
MiniCAM_EMF22,EMF22 2.6 OS,World,Emissions|CO2,Mt CO2/yr,,34614.79027,,32091.99958,,30628.63175,,24316.89009,,13156.7746,,5446.374159,,-702.3403425,,-5289.368908,,-9324.833671,,-13360.29843
TIAM-World_2007_version,EMF22 2.6 OS,World,Emissions|CO2,Mt CO2/yr,,30352.84263,,24333.67516,,17175.60657,,11721.68898,,5949.105784,,1108.048295,,554.0231153,,-0.002063981,,-0.00072,,0.000625
IMAGE 2.4 EMF22,EMF22 3.7 NTE,World,Emissions|CO2,Mt CO2/yr,,34519.181,,37502.618,,34371.1939,,30881.792,,24942.806,,21411.136,,19672.986,,14894.6735,,12376.4804,,11016.7254
MERGE_EMF22,EMF22 3.7 NTE,World,Emissions|CO2,Mt CO2/yr,,31540.07049,,31643.89456,,29892.38467,,27127.30244,,22864.86441,,15959.39835,,11083.5114,,9276.901262,,7704.032687,,8016.899323
MESSAGE V.1,EMF22 3.7 NTE,World,Emissions|CO2,Mt CO2/yr,,32740,,36890,,34670,,26000,,11460,,9710,,10010,,10250,,10620,,10920
MiniCAM_EMF22,EMF22 3.7 NTE,World,Emissions|CO2,Mt CO2/yr,,34614.79027,,34007.28554,,34357.98606,,30584.89076,,22687.99964,,18964.99341,,14409.57877,,9021.755728,,11063.29625,,13104.83677
SGM_EMF22,EMF22 3.7 NTE,World,Emissions|CO2,Mt CO2/yr,,29522.22135,,22462.25894,,21541.54663,,22059.22622,,21410.46683,,21029.28318,,19462.54821,,17585.28062,,15470.34791,,13112.55693
TIAM-World_2007_version,EMF22 3.7 NTE,World,Emissions|CO2,Mt CO2/yr,,30933.91957,,34520.5594,,38094.41872,,35249.7922,,28126.03624,,21529.51647,,16887.25207,,12244.98767,,13638.16371,,15031.33974
WITCH_EMF22,EMF22 3.7 NTE,World,Emissions|CO2,Mt CO2/yr,,33670.98934,,35403.38123,,31903.0971,,26464.04931,,22069.52627,,19530.63474,,18918.00858,,18701.87531,,17758.54024,,16966.98938
IMAGE 2.4 EMF22,EMF22 3.7 OS,World,Emissions|CO2,Mt CO2/yr,,34519.181,,37967.068,,37242.1839,,38261.002,,34313.866,,22994.646,,18340.266,,8611.2885,,6791.4294,,7830.2704
MERGE_EMF22,EMF22 3.7 OS,World,Emissions|CO2,Mt CO2/yr,,31540.07049,,32090.34252,,30927.00417,,28514.67175,,25468.44645,,20097.3252,,12553.77781,,7594.106083,,3791.326102,,4887.386753
MESSAGE V.1,EMF22 3.7 OS,World,Emissions|CO2,Mt CO2/yr,,32740,,39460,,42010,,41620,,36690,,28650,,16800,,860,,-15330,,-23850
MiniCAM_EMF22,EMF22 3.7 OS,World,Emissions|CO2,Mt CO2/yr,,34614.79027,,35982.32262,,38702.12445,,38552.0578,,35532.12266,,25950.89524,,15912.05957,,5415.61567,,-126.4234195,,-5668.462509
SGM_EMF22,EMF22 3.7 OS,World,Emissions|CO2,Mt CO2/yr,,29522.22135,,22462.25894,,21541.54663,,22059.22622,,21410.46683,,21029.28318,,19462.54821,,17585.28062,,15470.34791,,13112.55693
TIAM-World_2007_version,EMF22 3.7 OS,World,Emissions|CO2,Mt CO2/yr,,30966.91552,,34791.85551,,39718.29448,,38924.01642,,32421.33256,,25570.60449,,18169.61083,,10768.61717,,7289.372678,,3810.128185
WITCH_EMF22,EMF22 3.7 OS,World,Emissions|CO2,Mt CO2/yr,,34361.84501,,40349.81473,,40987.63292,,33438.22411,,24500.64057,,17565.90623,,14346.85639,,14890.98424,,14642.32194,,14594.43295
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2,Mt CO2/yr,34492.04991,38313.59053,,33787.55125,,26579.54357,,21132.98025,,13133.48465,,,,,,,,,,
BET 1.5,EMF27-450-FullTech,World,Emissions|CO2,Mt CO2/yr,29820.10948,31387.09659,,26336.21945,,21275.61419,,15520.77531,,12241.93389,,5914.528191,,3361.014176,,2200.452923,,1412.746865,,1153.558298
ENV-Linkages (WEO2012 calibration),EMF27-450-FullTech,World,Emissions|CO2,Mt CO2/yr,,36354.6,,38014.3,,34515.8,,25785.7,,17333.1,,,,,,,,,,
GCAM 3.0,EMF27-450-FullTech,World,Emissions|CO2,Mt CO2/yr,31473.62448,34685.29697,,18519.55791,,22313.10535,,19524.17971,,13378.71156,,6531.403641,,-147.7499164,,-6977.792621,,-13063.10067,,-19966.499
IMACLIM v1.1,EMF27-450-FullTech,World,Emissions|CO2,Mt CO2/yr,29110,32330,,26980,,21900,,18110,,13370,,10420,,6021,,-6085,,-9673,,-9586
IMAGE 2.4,EMF27-450-FullTech,World,Emissions|CO2,Mt CO2/yr,34438.60091,36061.13672,,35197.57585,,31368.72721,,18267.9707,,12264.56763,,4847.388387,,-2360.432332,,-3955.379964,,-7001.137004,,-9376.671061
MERGE_EMF27,EMF27-450-FullTech,World,Emissions|CO2,Mt CO2/yr,28501.22,33303.16107,,35045.20706,,32539.77634,,24823.92532,,12998.66623,,-811.6209146,,-7375.27793,,-10860.95217,,-13095.73657,,-15846.77252
MESSAGE V.4,EMF27-450-FullTech,World,Emissions|CO2,Mt CO2/yr,34491.02067,36087.08767,,35821.00867,,31853.01533,,23472.02733,,10107.74967,,1063.458,,-4604.310333,,-8341.956333,,-11841.742,,-14495.811
POLES EMF27,EMF27-450-FullTech,World,Emissions|CO2,Mt CO2/yr,29207.968,31637.524,,32907.09,,24321.828,,15381,,8223.6115,,3067.437,,-108.6956641,,-2027.9035,,-3279.22925,,-4078.54425
